"Local Authority in England and Health board in Scotland and Wales","long","lat","ONS","05/03","07/03","08/03","09/03","10/03","11/03","12/03","13/03","14/03","15/03","16/03","17/03","18/03","19/03","20/03","21/03","22/03","23/03","24/03","25/03"
"Leeds",-1.50736,53.82273,"E08000035","1 to 4",3,3,5,5,5,7,7,9,19,14,11,12,15,17,20,29,35,42,53
"Leicester",-1.1304,52.63592,"E06000016",0,0,0,0,0,0,2,2,2,2,1,0,3,5,11,14,19,22,24,32
"Leicestershire",-1.3779,52.68779,"E10000018",0,1,1,2,2,2,2,3,4,6,5,7,14,17,20,29,43,53,65,80
"Lewisham",-0.01733,51.44231,"E09000023","1 to 4",2,3,3,3,3,5,5,6,11,17,18,22,39,47,60,67,86,97,114
"Lincolnshire",-0.23882,53.11105,"E10000019","1 to 4",1,1,1,1,1,1,1,3,4,4,4,7,7,9,9,14,20,24,31
"Liverpool",-2.91364,53.4083,"E08000012",0,3,4,5,5,6,8,8,6,9,6,11,12,13,14,18,22,35,41,57
"Luton",-0.42319,51.89102,"E06000032",0,2,2,2,2,2,2,3,3,2,3,3,3,3,4,5,8,15,19,29
"Manchester",-2.23359,53.47009,"E08000003","1 to 4",5,5,5,5,5,7,7,9,9,8,14,18,21,26,28,31,37,41,45
"Medway",0.563173,51.44771,"E06000035",0,2,2,2,2,2,2,2,2,2,2,4,4,8,11,11,11,15,19,25
"Merton",-0.18867,51.41057,"E09000024","1 to 4",1,1,1,2,2,2,4,5,9,12,13,34,39,45,56,56,57,84,98
"Middlesbrough",-1.21099,54.54467,"E06000002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,7,9
"Milton Keynes",-0.7407,52.07241,"E06000042",0,1,1,1,2,2,2,2,2,4,3,3,4,5,7,7,11,17,25,29
"Newcastle upon Tyne",-1.65297,55.02101,"E08000021","1 to 4",3,3,4,4,6,6,5,5,4,5,5,13,19,21,28,34,42,49,58
"Newham",0.027369,51.53132,"E09000025",0,0,0,0,0,0,0,0,1,3,3,17,23,32,42,51,57,70,76,77
